netTime,clockTime,unique_id
7661,7661,354658649da56c20c72b6689d2b7e1b8cc334ac9
7737,7737,1da607e762ac07eba6f9b5a717e9ff196d987242
7747,7747,1de4a95cef28c290ba5790217288f510afc3b26b
7750,7750,12215d93d2cb5b0234991a64d097955338a73dd3
8163,8163,5375986567be20b49067956e989884908fb807f6
7811,7811,613be609b3f4a38834c2bc35bffbdb6c47418666
7853,7853,70fb3284d112dc27a5cad7f705b38bc91f56ecad
7902,7902,0ea5d606a83eb68c89da0a98543b815e383835e3
7923,7923,ecdd57df778ad901b41e79dd2713a23cb8f13860
7927,7927,ae7fe893268d86b7a1bdb4489f9a0798797c718c
8684,8684,9a18683b3455cd7f821aab4af8b98eef4175faf5
7953,7953,75dc790569eb661f579301f1d8cc1be1ccf6c49c
7968,7968,ccf0fa447a250d0f4a5310a3d38714e774feb842
7980,7980,c5ef5688db687a28bc36b6e481cb5ce24bd58acc
8192,8192,2f74d37313edca91ea6b7464a9242fb50a895fab
8195,8195,ef1e636a75be48b765640b6b5523c408dfa78c95
8351,8351,ab538946924e9483071128ae7c2cee6e5b71d8b8
8352,8352,5ff14334194bedec77fc756cc1407ae05b56b678
8360,8360,2f5a7e63aaf18b0b0978e4690d523a58868c3448
8408,8408,94876648f6c9c52ae8cbe78dffbf586ad07e1e14
7439,7442,9b003bf8def3fd8582207a50cfd7f908b0c4aee5
8416,8416,4a1502fb288344a9d2ca2fa0858897a59a9f6b14
8994,8994,55bfa244fb7ef2e6de27853ac8d3e94839e1e131
8458,8458,da490358abf0c41e5a6a762715a268bd2735649a
8458,8458,6f8d6bc1e27a3e669e7516c240614a1dcbacfb61
9825,9825,4317d193bbc67c6c6fe86a111d01f20b0c1b263b
7800,7800,7bdd253c2489364334f1a39f2aa0f4bd5acd7b0c
8505,8505,952df51d453eb39f7e9e60655a0cbe5a83a220c1
8553,8556,90183b394da8031957b438c041ad12ecaac3294f
8570,8570,a63516613006a04d7d80f518cb65c6ea06200a89
8510,8510,ba6c02b5407c08d5190451268d70ce7818f26c25
8579,8579,eab44af91e54c24ef1921207f2bca5b39804aa80
8664,8664,c17dabce711dfa2aaeec26c7179ea83b1de30763
8691,8696,2c3667fd809793e7d722382d3dce17bda6a65cf0
8264,8267,a19375da6b15fbd2a2ee53a37d7c514b65fd3a64
7822,7826,719ff4dfb0fdd7eb3e49f34e946439f77a001e68
8777,8780,542419164607e7048ef9446960e5931817ade1bd
8799,8799,1e9e71f8c735c56e513b0415f25bf0ca37ee65cd
8846,8847,bbfcdd59dce0367e8fe1b0f015728fe79fd8270e
8847,8847,12b5a3931e9a1238441963cb127ab6f58e5a04d2
8941,8941,cbcbd26293c65b9a33a073927e418866d5b3e74b
10091,10097,24ff3dc78f56c302480099141b1587b87a2b5c0d
8907,8907,8c58ba106bf5110b017659d76ddad9b8e79e00f2
8925,8927,4a098781a2b35b82f86d44b256f1b7220391f633
8256,8259,79c9694038e077899108436e306049332c57c13f
9653,9656,50755314d2fae513d8720780768ed69b00019ead
8969,8972,e33cdb945d16df155b0aeca031772551649488f6
8993,8996,f169144d71577f70c8099dce95c3cf11f7201fa8
9932,9939,27700c4f8ae071e4afad6b139aaa810ecb843e8e
9024,9027,5eaa2e8a62ed41f72e8f19f72d88d7d3a6057d71
10111,10121,6eae3ee0d1f39dfe8bad4f5907228ad6dcf006bf
9041,9046,3af898f9957b2b2620b56b6736e8e8a8b6771786
9057,9063,3a9ac1a886171ca9af59d5453b9012dbc655c4cc
8584,8588,f7327fa5de32b0d06b1bb980a4b194a2770422fb
9772,9773,125d76e84c817fdd46b942b5c1fc7c800de02773
9081,9088,176f2ac3236be87b833eb20368eb90c1b20d2c6f
9084,9090,24988031516e854d4a29560bf78643d6b63901e6
5833,5835,f30ce6a28dcd0dd8a3bc95022b4ecc6da893ba80
8908,8912,733e34b31ad852a045a52573c9c6337059739a20
10260,10266,47238211ad1a5a3e3a6b31b8eab314461c217151
9136,9145,e4d51b7ccadb12cdd5b0b60a79da656e86ae23e4
9159,9160,dcb1470146f5b1a62db5ba17ee32c0e4bce5e5c6
7829,7832,ad73d6c3d43fef0755b0b5d897307636b77ef2e8
7933,7938,09d7d38113b0f529ab185cc4986dada6a4e57cb7
10685,10692,37636015855cc8d638009450c787624c9d226f51
