ageClass,sex,nationality,treatment,unique_id
20,M,KEN,Treatment,354658649da56c20c72b6689d2b7e1b8cc334ac9
20,M,KEN,Treatment,1da607e762ac07eba6f9b5a717e9ff196d987242
20,M,KEN,Control,1de4a95cef28c290ba5790217288f510afc3b26b
30,M,KEN,Control,12215d93d2cb5b0234991a64d097955338a73dd3
30,M,KEN,Treatment,5375986567be20b49067956e989884908fb807f6
20,M,ETH,Treatment,613be609b3f4a38834c2bc35bffbdb6c47418666
20,M,KEN,Control,70fb3284d112dc27a5cad7f705b38bc91f56ecad
30,M,AUS,Control,0ea5d606a83eb68c89da0a98543b815e383835e3
20,M,BRA,Control,ecdd57df778ad901b41e79dd2713a23cb8f13860
20,M,ETH,Control,ae7fe893268d86b7a1bdb4489f9a0798797c718c
35,M,KOR,Treatment,9a18683b3455cd7f821aab4af8b98eef4175faf5
30,M,AUS,Control,75dc790569eb661f579301f1d8cc1be1ccf6c49c
20,M,KEN,Control,ccf0fa447a250d0f4a5310a3d38714e774feb842
20,M,ETH,Control,c5ef5688db687a28bc36b6e481cb5ce24bd58acc
30,M,AUS,Control,2f74d37313edca91ea6b7464a9242fb50a895fab
30,M,JPN,Control,ef1e636a75be48b765640b6b5523c408dfa78c95
35,M,KEN,Control,ab538946924e9483071128ae7c2cee6e5b71d8b8
20,W,JPN,Treatment,5ff14334194bedec77fc756cc1407ae05b56b678
20,M,GBR,Treatment,2f5a7e63aaf18b0b0978e4690d523a58868c3448
20,M,JPN,Treatment,94876648f6c9c52ae8cbe78dffbf586ad07e1e14
30,M,USA,Treatment,9b003bf8def3fd8582207a50cfd7f908b0c4aee5
20,M,KEN,Control,4a1502fb288344a9d2ca2fa0858897a59a9f6b14
30,M,GBR,Treatment,55bfa244fb7ef2e6de27853ac8d3e94839e1e131
20,M,AUS,Treatment,da490358abf0c41e5a6a762715a268bd2735649a
35,M,AUS,Control,6f8d6bc1e27a3e669e7516c240614a1dcbacfb61
30,M,ITA,Treatment,4317d193bbc67c6c6fe86a111d01f20b0c1b263b
35,M,AUS,Treatment,7bdd253c2489364334f1a39f2aa0f4bd5acd7b0c
35,M,AUS,Control,952df51d453eb39f7e9e60655a0cbe5a83a220c1
20,M,ISR,Control,90183b394da8031957b438c041ad12ecaac3294f
30,M,FRA,Control,a63516613006a04d7d80f518cb65c6ea06200a89
30,M,EST,Treatment,ba6c02b5407c08d5190451268d70ce7818f26c25
30,M,GBR,Control,eab44af91e54c24ef1921207f2bca5b39804aa80
20,M,DEU,Control,c17dabce711dfa2aaeec26c7179ea83b1de30763
20,M,AUS,Control,2c3667fd809793e7d722382d3dce17bda6a65cf0
